,index,filename,pixvals, masterpiece, nograffiti, tags, throwups
0,1361,08ACAE21-BB01-4D06-9BCC-DCD4B012A848_jpg.rf.b3a124082a015b910e64c058f34f6d11.jpg,"[[[-26.939003  -18.779      -3.6800003]
  [-27.939003  -17.779      -2.6800003]
  [-32.939003  -16.779      -2.6800003]
  ...
  [  9.060997   50.221      76.32     ]
  [  2.060997   42.221      68.32     ]
  [ -1.939003   38.221      64.32     ]]

 [[-25.939003  -20.779      -4.6800003]
  [-29.939003  -19.779      -4.6800003]
  [-33.939003  -17.779      -3.6800003]
  ...
  [ 12.060997   51.221      80.32     ]
  [ -1.939003   38.221      64.32     ]
  [  5.060997   45.221      71.32     ]]

 [[-26.939003  -22.779      -3.6800003]
  [-28.939003  -21.779      -3.6800003]
  [-33.939003  -20.779      -3.6800003]
  ...
  [ -2.939003   35.221      61.32     ]
  [ -8.939003   29.221      55.32     ]
  [ 11.060997   49.221      75.32     ]]

 ...

 [[ 49.060997   42.221      40.32     ]
  [ 58.060997   51.221      49.32     ]
  [110.061     103.221     101.32     ]
  ...
  [ 15.060997   11.221001    7.3199997]
  [ 15.060997   11.221001    7.3199997]
  [ 15.060997   11.221001    7.3199997]]

 [[ 36.060997   29.221      27.32     ]
  [ 46.060997   39.221      37.32     ]
  [ 69.061      62.221      60.32     ]
  ...
  [ 13.060997    9.221001    5.3199997]
  [ 11.060997   10.221001    5.3199997]
  [ 11.060997   10.221001    5.3199997]]

 [[ 45.060997   38.221      36.32     ]
  [ 46.060997   39.221      37.32     ]
  [ 24.060997   17.221      15.32     ]
  ...
  [  9.060997    8.221001    3.3199997]
  [  9.060997    8.221001    3.3199997]
  [  9.060997    8.221001    3.3199997]]]",0,0,1,0
1,151,08ACAE21-BB01-4D06-9BCC-DCD4B012A848_jpg.rf.e52349219b367175ddabbf006969f198.jpg,"[[[-9.3900299e-01  4.6221001e+01  7.5320000e+01]
  [ 7.0609970e+00  5.4221001e+01  8.3320000e+01]
  [ 7.0609970e+00  5.4221001e+01  8.3320000e+01]
  ...
  [ 1.0609970e+00  3.2221001e+01  4.9320000e+01]
  [-3.9390030e+00  2.7221001e+01  4.4320000e+01]
  [-1.6939003e+01  1.4221001e+01  3.1320000e+01]]

 [[ 1.1060997e+01  5.6221001e+01  8.5320000e+01]
  [ 1.0060997e+01  5.5221001e+01  8.4320000e+01]
  [ 6.0997009e-02  4.5221001e+01  7.4320000e+01]
  ...
  [-1.8939003e+01  1.2221001e+01  2.9320000e+01]
  [-2.2939003e+01  8.2210007e+00  2.5320000e+01]
  [-1.0939003e+01  2.0221001e+01  3.7320000e+01]]

 [[ 7.0609970e+00  4.9221001e+01  7.9320000e+01]
  [ 1.0060997e+01  5.2221001e+01  8.2320000e+01]
  [ 9.0609970e+00  5.1221001e+01  8.1320000e+01]
  ...
  [-1.1939003e+01  1.6221001e+01  3.4320000e+01]
  [-1.8939003e+01  9.2210007e+00  2.7320000e+01]
  [-3.9390030e+00  2.4221001e+01  4.2320000e+01]]

 ...

 [[ 3.9060997e+01  3.1221001e+01  2.7320000e+01]
  [-3.9390030e+00 -1.1778999e+01 -1.5680000e+01]
  [ 3.7060997e+01  2.9221001e+01  2.5320000e+01]
  ...
  [ 7.3060997e+01  7.3221001e+01  6.8320000e+01]
  [ 7.8060997e+01  8.0221001e+01  7.5320000e+01]
  [ 6.8060997e+01  7.0221001e+01  6.5320000e+01]]

 [[ 5.0609970e+00 -2.7789993e+00 -6.6800003e+00]
  [-7.9390030e+00 -1.5778999e+01 -1.9680000e+01]
  [ 9.0609970e+00  1.2210007e+00 -2.6800003e+00]
  ...
  [ 5.5060997e+01  5.5221001e+01  5.0320000e+01]
  [ 6.2060997e+01  6.4221001e+01  5.9320000e+01]
  [ 6.2060997e+01  6.4221001e+01  5.9320000e+01]]

 [[ 1.0609970e+00 -6.7789993e+00 -1.0680000e+01]
  [ 2.8060997e+01  2.0221001e+01  1.6320000e+01]
  [ 2.0609970e+00 -5.7789993e+00 -9.6800003e+00]
  ...
  [ 5.8060997e+01  5.8221001e+01  5.3320000e+01]
  [ 6.7060997e+01  6.9221001e+01  6.4320000e+01]
  [ 6.7060997e+01  6.9221001e+01  6.4320000e+01]]]",0,0,1,0
2,585,08ACAE21-BB01-4D06-9BCC-DCD4B012A848_jpg.rf.fbb4a20af8b867d1a15e2e7d89baecea.jpg,"[[[-1.2939003e+01  2.5221001e+01  4.4320000e+01]
  [-1.5939003e+01  2.2221001e+01  4.1320000e+01]
  [-7.9390030e+00  3.0221001e+01  4.9320000e+01]
  ...
  [ 1.9060997e+01  6.7221001e+01  9.2320000e+01]
  [-9.3900299e-01  5.0221001e+01  7.4320000e+01]
  [ 3.0609970e+00  5.4221001e+01  7.8320000e+01]]

 [[-1.3939003e+01  2.4221001e+01  4.3320000e+01]
  [ 6.0997009e-02  3.8221001e+01  5.7320000e+01]
  [-5.9390030e+00  3.2221001e+01  5.1320000e+01]
  ...
  [-5.9390030e+00  4.2221001e+01  6.7320000e+01]
  [ 1.1060997e+01  5.9221001e+01  8.4320000e+01]
  [ 1.3060997e+01  6.1221001e+01  8.6320000e+01]]

 [[-1.0939003e+01  2.5221001e+01  4.4320000e+01]
  [-2.1939003e+01  1.4221001e+01  3.3320000e+01]
  [-1.9939003e+01  1.6221001e+01  3.5320000e+01]
  ...
  [ 2.6060997e+01  7.2221001e+01  9.7320000e+01]
  [-9.9390030e+00  3.6221001e+01  6.1320000e+01]
  [ 4.0609970e+00  5.0221001e+01  7.5320000e+01]]

 ...

 [[ 7.8060997e+01  7.2221001e+01  9.0320000e+01]
  [ 6.2060997e+01  5.6221001e+01  7.4320000e+01]
  [ 4.9060997e+01  4.3221001e+01  6.1320000e+01]
  ...
  [-3.0939003e+01 -4.0778999e+01 -3.9680000e+01]
  [-2.7939003e+01 -3.7778999e+01 -3.6680000e+01]
  [-4.1939003e+01 -5.1778999e+01 -5.0680000e+01]]

 [[ 4.4060997e+01  3.5221001e+01  4.7320000e+01]
  [ 9.9060997e+01  9.0221001e+01  1.0232000e+02]
  [ 5.9060997e+01  5.0221001e+01  6.2320000e+01]
  ...
  [-3.7939003e+01 -4.9778999e+01 -5.2680000e+01]
  [-3.7939003e+01 -4.9778999e+01 -5.2680000e+01]
  [-3.5939003e+01 -4.7778999e+01 -5.0680000e+01]]

 [[ 7.9060997e+01  6.6221001e+01  7.5320000e+01]
  [ 6.4060997e+01  5.1221001e+01  6.0320000e+01]
  [ 7.1060997e+01  5.8221001e+01  6.7320000e+01]
  ...
  [-1.5939003e+01 -2.9778999e+01 -3.4680000e+01]
  [-2.4939003e+01 -3.8778999e+01 -4.3680000e+01]
  [-1.2939003e+01 -2.6778999e+01 -3.1680000e+01]]]",0,0,1,0
3,1707,105_0563_1590346473_o_jpg.rf.5a8de2a40ab56c4a3820202558734778.jpg,"[[[ -83.939      -96.779     -103.68     ]
  [ -99.939     -112.779     -119.68     ]
  [ -81.939      -94.779     -101.68     ]
  ...
  [ -94.939     -107.779     -114.68     ]
  [-102.939     -115.779     -122.68     ]
  [ -91.939     -104.779     -111.68     ]]

 [[ -78.939      -91.779      -98.68     ]
  [ -73.939      -86.779      -93.68     ]
  [ -65.939      -78.779      -85.68     ]
  ...
  [ -90.939     -103.779     -110.68     ]
  [ -96.939     -109.779     -116.68     ]
  [ -99.939     -112.779     -119.68     ]]

 [[ -84.939      -97.779     -104.68     ]
  [ -72.939      -85.779      -92.68     ]
  [ -88.939     -101.779     -108.68     ]
  ...
  [-103.939     -116.779     -123.68     ]
  [ -80.939      -93.779     -100.68     ]
  [ -97.939     -110.779     -117.68     ]]

 ...

 [[ -81.939      -93.779     -104.68     ]
  [ -88.939     -100.779     -111.68     ]
  [ -91.939     -103.779     -114.68     ]
  ...
  [  30.060997    42.221       31.32     ]
  [  25.060997    39.221       29.32     ]
  [  25.060997    40.221       33.32     ]]

 [[ -77.939      -89.779     -100.68     ]
  [ -80.939      -92.779     -103.68     ]
  [ -78.939      -90.779     -101.68     ]
  ...
  [   4.060997    17.221        4.3199997]
  [  23.060997    37.221       26.32     ]
  [  -1.939003    14.221001     4.3199997]]

 [[ -73.939      -85.779      -96.68     ]
  [ -72.939      -84.779      -95.68     ]
  [ -71.939      -83.779      -94.68     ]
  ...
  [  -3.939003     9.221001    -3.6800003]
  [  19.060997    36.221       24.32     ]
  [   5.060997    21.221       11.32     ]]]",0,0,1,0
4,715,105_0563_1590346473_o_jpg.rf.745179d72e7fb256e4fa9f2ee07eeaee.jpg,"[[[ -90.939     -101.779     -114.68     ]
  [-103.939     -114.779     -123.68     ]
  [ -83.939      -94.779     -107.68     ]
  ...
  [ -74.939      -87.779      -94.68     ]
  [ -78.939      -91.779      -98.68     ]
  [ -83.939      -96.779     -103.68     ]]

 [[ -93.939     -104.779     -117.68     ]
  [-103.939     -114.779     -123.68     ]
  [ -88.939      -99.779     -112.68     ]
  ...
  [ -60.939003   -73.779      -80.68     ]
  [ -92.939     -105.779     -112.68     ]
  [ -84.939      -97.779     -104.68     ]]

 [[ -83.939      -94.779     -107.68     ]
  [ -81.939      -92.779     -105.68     ]
  [-102.939     -113.779     -123.68     ]
  ...
  [ -97.939     -110.779     -117.68     ]
  [ -65.939      -78.779      -85.68     ]
  [ -58.939003   -71.779      -78.68     ]]

 ...

 [[ -90.939     -102.779     -113.68     ]
  [ -86.939      -98.779     -109.68     ]
  [-102.939     -114.779     -123.68     ]
  ...
  [  14.060997    20.221       -1.6800003]
  [  18.060997    23.221        3.3199997]
  [  15.060997    20.221        0.3199997]]

 [[ -82.939      -94.779     -105.68     ]
  [ -68.939      -80.779      -91.68     ]
  [ -81.939      -93.779     -104.68     ]
  ...
  [   6.060997    11.221001    -8.68     ]
  [  20.060997    25.221        5.3199997]
  [  15.060997    20.221        0.3199997]]

 [[-103.939     -115.779     -123.68     ]
  [ -88.939     -100.779     -111.68     ]
  [ -97.939     -109.779     -120.68     ]
  ...
  [  20.060997    25.221        5.3199997]
  [  18.060997    23.221        3.3199997]
  [  -0.939003     4.2210007  -15.68     ]]]",0,0,1,0
5,3,105_0563_1590346473_o_jpg.rf.d0523f96307e126826d25de12843d584.jpg,"[[[ -96.939     -109.779     -116.68     ]
  [ -97.939     -110.779     -117.68     ]
  [ -97.939     -110.779     -117.68     ]
  ...
  [ -93.939     -106.779     -113.68     ]
  [ -99.939     -112.779     -119.68     ]
  [ -96.939     -109.779     -116.68     ]]

 [[ -96.939     -109.779     -116.68     ]
  [ -96.939     -109.779     -116.68     ]
  [ -96.939     -109.779     -116.68     ]
  ...
  [ -88.939     -101.779     -108.68     ]
  [-100.939     -113.779     -120.68     ]
  [ -91.939     -104.779     -111.68     ]]

 [[ -95.939     -108.779     -115.68     ]
  [ -96.939     -109.779     -116.68     ]
  [ -96.939     -109.779     -116.68     ]
  ...
  [ -96.939     -109.779     -116.68     ]
  [ -91.939     -104.779     -111.68     ]
  [ -95.939     -108.779     -115.68     ]]

 ...

 [[ -84.939      -96.779     -107.68     ]
  [ -78.939      -90.779     -101.68     ]
  [ -96.939     -108.779     -119.68     ]
  ...
  [   5.060997     7.2210007   -3.6800003]
  [   6.060997     7.2210007   -1.6800003]
  [   5.060997     6.2210007   -1.6800003]]

 [[ -75.939      -87.779      -98.68     ]
  [ -99.939     -111.779     -122.68     ]
  [ -88.939     -100.779     -111.68     ]
  ...
  [   3.060997     5.2210007   -5.6800003]
  [  -1.939003    -0.7789993   -8.68     ]
  [  -7.939003    -6.7789993  -14.68     ]]

 [[ -82.939      -94.779     -105.68     ]
  [ -71.939      -83.779      -94.68     ]
  [ -83.939      -95.779     -106.68     ]
  ...
  [   5.060997     7.2210007   -3.6800003]
  [  -5.939003    -4.7789993  -12.68     ]
  [ -14.939003   -14.778999   -19.68     ]]]",0,0,1,0
6,1089,105_0571_1590340103_o_jpg.rf.a709ee9a635f126a40227953d6e8de62.jpg,"[[[ -80.939      -87.779      -89.68     ]
  [ -33.939003   -40.779      -42.68     ]
  [ -37.939003   -44.779      -46.68     ]
  ...
  [ -96.939     -105.779     -118.68     ]
  [-103.939     -105.779     -120.68     ]
  [ -95.939      -95.779     -110.68     ]]

 [[-103.939     -116.779     -119.68     ]
  [-103.939     -114.779     -116.68     ]
  [ -52.939003   -59.779      -61.68     ]
  ...
  [ -94.939     -100.779     -114.68     ]
  [-103.939     -106.779     -121.68     ]
  [-103.939     -106.779     -121.68     ]]

 [[ -94.939     -101.779     -103.68     ]
  [ -91.939      -98.779     -100.68     ]
  [ -80.939      -87.779      -89.68     ]
  ...
  [ -97.939     -103.779     -117.68     ]
  [ -94.939      -96.779     -111.68     ]
  [ -89.939      -87.779     -102.68     ]]

 ...

 [[ -16.939003   -22.779      -32.68     ]
  [   4.060997    -1.7789993  -11.68     ]
  [  -1.939003    -3.7789993  -12.68     ]
  ...
  [-100.939     -112.779     -115.68     ]
  [-103.939     -115.779     -121.68     ]
  [-103.939     -115.779     -122.68     ]]

 [[ -26.939003   -34.779      -43.68     ]
  [  15.060997     9.221001    -0.6800003]
  [  11.060997     9.221001     0.3199997]
  ...
  [-103.939     -114.779     -122.68     ]
  [-103.939     -115.779     -123.68     ]
  [-103.939     -110.779     -122.68     ]]

 [[ -15.939003   -23.779      -32.68     ]
  [  32.060997    26.221       16.32     ]
  [  30.060997    25.221       17.32     ]
  ...
  [-103.939     -115.779     -123.68     ]
  [-103.939     -113.779     -123.68     ]
  [-101.939     -107.779     -121.68     ]]]",0,0,0,1
7,1335,105_0571_1590340103_o_jpg.rf.af08870732cfd2168881b57ff08d627f.jpg,"[[[ -90.939     -103.779     -110.68     ]
  [ -83.939      -96.779     -103.68     ]
  [ -84.939      -97.779     -104.68     ]
  ...
  [ -98.939      -97.779     -105.68     ]
  [ -58.939003   -55.779      -63.68     ]
  [ -34.939003   -31.779      -39.68     ]]

 [[ -68.939      -81.779      -88.68     ]
  [ -92.939     -105.779     -112.68     ]
  [ -79.939      -92.779      -99.68     ]
  ...
  [ -69.939      -68.779      -76.68     ]
  [  -8.939003    -7.7789993  -15.68     ]
  [ -33.939003   -30.779      -38.68     ]]

 [[ -63.939003   -76.779      -83.68     ]
  [ -47.939003   -60.779      -67.68     ]
  [ -82.939      -95.779     -102.68     ]
  ...
  [  -4.939003    -3.7789993  -11.68     ]
  [ -43.939003   -42.779      -50.68     ]
  [ -33.939003   -32.779      -40.68     ]]

 ...

 [[ -85.939     -101.779     -106.68     ]
  [-101.939     -116.779     -122.68     ]
  [ -79.939      -95.779     -100.68     ]
  ...
  [ -15.939003   -23.779      -31.68     ]
  [ 133.061      123.221      114.32     ]
  [ -40.939003   -52.779      -61.68     ]]

 [[-101.939     -116.779     -122.68     ]
  [ -87.939     -103.779     -108.68     ]
  [-101.939     -116.779     -122.68     ]
  ...
  [ -68.939      -76.779      -84.68     ]
  [ -17.939003   -29.779      -38.68     ]
  [ -37.939003   -49.779      -58.68     ]]

 [[-101.939     -116.779     -122.68     ]
  [-101.939     -116.779     -122.68     ]
  [-101.939     -116.779     -122.68     ]
  ...
  [ -12.939003   -20.779      -28.68     ]
  [ -20.939003   -32.779      -41.68     ]
  [ -56.939003   -71.779      -79.68     ]]]",0,0,0,1
8,176,105_0571_1590340103_o_jpg.rf.e65f0b617be76a1c0de4fdb53230f25e.jpg,"[[[ -49.939003   -55.779      -59.68     ]
  [ -68.939      -73.779      -80.68     ]
  [ -65.939      -70.779      -77.68     ]
  ...
  [ -85.939      -88.779      -95.68     ]
  [ -78.939      -81.779      -88.68     ]
  [ -87.939      -90.779      -97.68     ]]

 [[ -52.939003   -58.779      -62.68     ]
  [ -78.939      -83.779      -90.68     ]
  [ -73.939      -81.779      -87.68     ]
  ...
  [ -49.939003   -54.779      -61.68     ]
  [ -56.939003   -61.779      -68.68     ]
  [ -90.939      -95.779     -102.68     ]]

 [[ -49.939003   -57.779      -61.68     ]
  [ -65.939      -73.779      -79.68     ]
  [ -91.939     -100.779     -106.68     ]
  ...
  [ -38.939003   -43.779      -50.68     ]
  [ -43.939003   -48.779      -55.68     ]
  [ -14.939003   -19.779      -26.68     ]]

 ...

 [[ -99.939     -111.779     -104.68     ]
  [ -97.939     -110.779     -103.68     ]
  [-101.939     -114.779     -109.68     ]
  ...
  [  12.060997    10.221001    11.32     ]
  [  32.060997    29.221       29.32     ]
  [  -3.939003    -6.7789993   -6.6800003]]

 [[-103.939     -116.779     -109.68     ]
  [ -86.939     -101.779      -88.68     ]
  [ -85.939     -100.779      -88.68     ]
  ...
  [  29.060997    27.221       28.32     ]
  [  30.060997    26.221       28.32     ]
  [  -6.939003   -10.778999    -8.68     ]]

 [[-102.939     -116.779     -101.68     ]
  [ -98.939     -115.779      -97.68     ]
  [ -26.939003   -42.779      -27.68     ]
  ...
  [  18.060997    15.221001    18.32     ]
  [  34.060997    30.221       33.32     ]
  [ -28.939003   -32.779      -29.68     ]]]",0,0,0,1
9,1645,862004-093_130848028_o_jpg.rf.51d9063e66bff83f471314fab9c890b6.jpg,"[[[ -79.939     -89.779     -68.68    ]
  [ -61.939003  -76.779     -31.68    ]
  [ -14.939003  -35.779      50.32    ]
  ...
  [  58.060997   48.221      85.32    ]
  [  50.060997   41.221      75.32    ]
  [  52.060997   43.221      77.32    ]]

 [[ -81.939     -91.779     -70.68    ]
  [ -50.939003  -64.779     -21.68    ]
  [ -26.939003  -47.779      38.32    ]
  ...
  [  56.060997   47.221      81.32    ]
  [  75.061      66.221     100.32    ]
  [  99.061      90.221     124.32    ]]

 [[ -44.939003  -53.779     -35.68    ]
  [ -46.939003  -60.779     -17.68    ]
  [   2.060997  -16.779      65.32    ]
  ...
  [  32.060997   24.221      56.32    ]
  [  38.060997   30.221      62.32    ]
  [  60.060997   52.221      84.32    ]]

 ...

 [[  49.060997   35.221      32.32    ]
  [ -22.939003  -36.779     -39.68    ]
  [ -60.939003  -72.779     -75.68    ]
  ...
  [ -55.939003  -68.779     -75.68    ]
  [ -48.939003  -61.779     -68.68    ]
  [ -52.939003  -65.779     -72.68    ]]

 [[ -39.939003  -53.779     -56.68    ]
  [ -66.939     -80.779     -83.68    ]
  [ -78.939     -92.779     -95.68    ]
  ...
  [ -36.939003  -49.779     -56.68    ]
  [ -29.939003  -42.779     -49.68    ]
  [ -38.939003  -51.779     -58.68    ]]

 [[-103.939    -116.779    -120.68    ]
  [ -92.939    -106.779    -109.68    ]
  [ -86.939    -100.779    -103.68    ]
  ...
  [ -28.939003  -41.779     -48.68    ]
  [ -20.939003  -33.779     -40.68    ]
  [ -36.939003  -49.779     -56.68    ]]]",0,0,0,1
